CUE Anexo|Jardín maternal|Inicial|Primaria|Secundaria|Secundaria Técnica (INET)|Superior no Universitario|Superior No Universitario (INET)
060088100||X|||||
060088200|X|X|||||
060088300|||X||||
060088500|||X||||
060088600|||X||||
060088700|||X||||
060088800|||X||||
060089000|||X||||
060089100|||X||||
060089200|||X||||
060089400|||X||||
060089500|||X||||
060089600||X|||||
060089700|||X||||
060089800||X|||||
060090100|||X||||
060090300||X|||||
060090400|||X||||
060090500||X|||||
060090700|||X||||
060090800|X|X|||||
060090900||X|||||
060091000|||X||||
060091100|||X||||
060091200||X|||||
060091300|||X||||
060091400|||||||
060091600||X|||||
060091700||||X|||
060091800|||X||||
060091900||X|||||
060092200|||||||
060092400|||X||||
060092600|||||||
060092601|||||||
060092700||X|||||
060092800|X|X|||||
060092900|X|X|||||
060093000|X|X|||||
060093100|X|X|||||
060093200|||X||||
060093300|||X||||
060093400|||X||||
060093500|||X||||
060093700|||X||||
060093800|||X||||
060093900|||X||||
060094000|||X||||
060094100|||X||||
060094200|||X||||
060094300|||X||||
060094600|||X||||
060094700|||X||||
060094800|||X||||
060094900|||X||||
060095000|||X||||
060095100|||X||||
060095200|||X||||
060095300||X|||||
060095600||X|||||
060095900||X|||||
060096100||X|||||
060096200||X|||||
060096300||X|||||
060096400|X|X|||||
060096500|||X||||
060096600|||X||||
060096800|||X||||
060097000||X|X||||
060097100|||X||||
060097200|||X||||
060097400|||X||||
060097800|||X||||
060097900|||X||||
060098100||X|X||||
060098200|||X||||
060098300|||X||||
060098400|||X||||
060098500||X|||||
060098600|||X||||
060098700|X|X|||||
060098800|||X||||
060099000|X|X|||||
060099100|||||||
060099101|||||||
060099102|||||||
060099103|||||||
060099200||X|||||
060099300|||X||||
060099400|||X||||
060099600||||X|||
060099700||X|||||
060099800|||X||||
060100000||X|||||
060100100||X|||||
060100200|||X||||
060100400||||X|||
060100500|||X||||
060100600|||X||||
060100800|||X||||
060101000|||||||
060101100|X|X|||||
060101400|||X||||
060101600|||X||||
060101700||X|||||
060101800||||X|||
060101900|||X||||
060102000|||||||
060102100|||X||||
060102200|||||||
060102201|||||||
060102202|||||||
060102300|||X||||
060102400|||X||||
060102500|||X||||
060102700|||X||||
060102800|||X||||
060102900||X|||||
060103000|||||||
060103100||X|||||
060103200||X|X||||
060103300|||X||||
060103400||||X|||
060103500|||X||||
060103600|||X||||
060103700|||X||||
060103900|X|X|||||
060104000||X|||||
060104200||||||X|
060104300|||X||||
060104400|X|X|||||
060104500|||X||||
060104600|X|X|||||
060104700||X|||||
060104800|||X||||
060104900||X|||||
060105000||X|X||||
060105100|||X||||
060105200|X|X|||||
060105300|||X||||
060105400||X|||||
060105800|||X||||
060105900|||X||||
060106000||X|||||
060106100||||X|||
060106200|X|X|||||
060106300||||X|||
060106400|||X||||
060106500||||||X|
060106501||||||X|X
060106600||||X|||
060106700|||X||||
060106800||X|X||||
060106900|||||||
060106901|||||||
060106902|||||||
060107000|||X||||
060107100|||||||
060107200||X|||||
060107300||X|||||
060107400|||X||||
060107500|X|X|||||
060107700|||X||||
060107800|||X||||
060107900|||X||||
060108000|||X||||
060108100|||X||||
060108300|X|X|||||
060108400|||X||||
060108500|||X||||
060108700|||X||||
060108800||X|||||
060109000||X|||||
060109100|X|X|||||
060109200|||X||||
060109300|||X||||
060109400|||X||||
060109700||X|||||
060109800||X|||||
060109900|||X||||
060110100||X|||||
060110300|X|X|||||
060110400||X|||||
060110500||X|||||
060110600||X|||||
060110700|||X||||
060110800||X|||||
060111000|||X||||
060111100|X|X|||||
060111200|||X||||
060111500|||X||||
060111600||||||X|
060111800|||X||||
060111900|X|X|||||
060112000||||X|||
